SubCon #,Field Office,Races,Ballot Number - General,Ballot Number - Women,Number of Ballots,Component Ballot,A4 Ballot,A3 Ballot,A3 Folded Ballot,Ballot Size for General,Ballot Size for Women,Ballot Size for Consultation,R&R Form Size - General,R&R Form Size - Women,R&R Form Size - Consultation,R&R Form A3 Size,R&R Form A3 folded Size,Screens Per Station,Ballot Boxes Per Station
1,12,1,1,,1,,0,1,0,A3,,,A3 folded,,,0,1,,
2,13,2,2,76,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
3,13,2,3,77,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
4,14,2,4,78,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
5,14,2,5,78,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
6,14,2,6,78,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
7,14,2,7,79,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
8,15,2,8,80,2,,1,0,0,Multi-Page Book,A4,,A3 folded,A3,,1,1,,
9,15,1,9,,1,,1,0,0,A4,,,A3,,,1,0,,
10,15,1,10,,1,,1,0,0,A4,,,A3,,,1,0,,
11,15,1,11,,1,,1,0,0,A4,,,A3,,,1,0,,
12,15,1,12,,1,,1,0,0,A4,,,A3,,,1,0,,
13,16,2,13,81,2,,1,0,1,A3 folded,A4,,A3 folded,A3,,1,1,,
14,16,2,14,81,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
15,16,2,15,82,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
16,16,2,16,82,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
17,17,1,17,,1,,1,0,0,A4,,,A3,,,1,0,,
18,17,1,18,,1,,1,0,0,A4,,,A3,,,1,0,,
19,1,1,19,,1,,1,0,0,A4,,,A3,,,1,0,,
20,1,2,20,83,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
21,1,2,21,84,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
22,9,2,22,85,2,,1,0,1,A3 folded,A4,,A3 folded,A3,,1,1,,
23,9,2,23,86,2,,1,0,1,A3 folded,A4,,A3 folded,A3,,1,1,,
24,10,2,24,87,2,,1,0,1,A3 folded,A4,,A3 folded,A3,,1,1,,
25,10,1,25,,1,,1,0,0,A4,,,A3,,,1,0,,
26,10,1,26,,1,,1,0,0,A4,,,A3,,,1,0,,
27,10,2,27,88,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
28,10,1,28,,1,,1,0,0,A4,,,A3,,,1,0,,
29,10,1,29,,1,,1,0,0,A4,,,A3,,,1,0,,
30,10,1,30,,1,,1,0,0,A4,,,A3,,,1,0,,
31,10,1,31,,1,,1,0,0,A4,,,A3,,,1,0,,
32,7,2,32,89,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
33,8,1,33,,1,,1,0,0,A4,,,A3,,,1,0,,
34,8,1,34,,1,,1,0,0,A4,,,A3,,,1,0,,
35,7,1,35,,1,,1,0,0,A4,,,A3,,,1,0,,
36,8,1,36,,1,,1,0,0,A4,,,A3,,,1,0,,
37,8,1,37,,1,,1,0,0,A4,,,A3,,,1,0,,
38,8,1,38,,1,,1,0,0,A4,,,A3,,,1,0,,
40,8,1,40,,1,,1,0,0,A4,,,A3,,,1,0,,
41,7,1,41,,1,,1,0,0,A4,,,A3,,,1,0,,
42,8,1,42,,1,,1,0,0,A4,,,A3,,,1,0,,
43,8,1,43,,1,,1,0,0,A4,,,A3,,,1,0,,
44,8,1,44,,1,,1,0,0,A4,,,A3,,,1,0,,
45,11,1,45,,1,,1,0,0,A4,,,A3,,,1,0,,
46,1,1,46,,1,,1,0,0,A4,,,A3,,,1,0,,
47,2,2,47,90,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
48,2,1,48,,1,,0,1,0,A3,,,A3 folded,,,0,1,,
49,2,2,49,91,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
50,3,2,50,92,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
51,3,1,51,,1,,0,1,0,A3,,,A3 folded,,,0,1,,
52,3,1,52,,1,,1,0,0,A4,,,A3,,,1,0,,
53,3,1,53,,1,,1,0,0,A4,,,A3,,,1,0,,
54,3,1,54,,1,,1,0,0,A4,,,A3,,,1,0,,
55,4,2,55,93,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
56,4,1,56,,1,,1,0,0,A4,,,A3,,,1,0,,
57,4,2,57,94,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
58,4,2,58,95,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
59,4,2,59,96,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
60,4,2,60,97,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
61,4,2,61,98,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
62,4,2,62,99,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,,
63,5,1,63,,1,,1,0,0,A4,,,A3,,,1,0,,
64,5,2,64,100,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
65,5,2,65,100,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
66,5,2,66,100,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
67,5,2,67,100,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
68,5,2,68,100,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
69,6,2,69,101,2,,1,0,1,A3 folded,A4,,A3 folded,A3,,1,1,,
70,6,1,70,,1,,1,0,0,A4,,,A3,,,1,0,,
71,6,1,71,,1,,1,0,0,A4,,,A3,,,1,0,,
72,6,2,72,102,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
74,6,2,74,102,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
75,6,2,75,102,2,,2,0,0,A4,A4,,A3,A3,,2,0,,
Special Voting,19,1,Matrix,Matrix,Matrix,,2,,0,,A4,,,,,,,,
OCV Voting,18,1,Matrix,Matrix,Matrix,,2,,0,,A4,,,0,,,,,
